,en,fr,hypo,pplx,prec,rec
0,this is a dead @-@ end alley .,この 路地 は 通り抜け でき ま せ ん 。,this cannot can &apos;t this this . . _EOS,33.255883653151436,0.2222222222222222,0.25
1,"yes , sorry , i forgot to acknowledge it .",ええ 、 届 い た の を お 知 らせ する の を 忘れ て しま っ て す み ま せ ん 。,i you you you you _UNK you the you you you . . . _EOS,34.11660698046509,0.13333333333333333,0.2
2,he is a german by origin .,彼 は ドイツ 生まれ の 人 だ 。,he is a of his . . _EOS,14.37812251669832,0.5,0.5714285714285714
3,we are familiar with the legend of robin hood .,我々 は ロビン フッド の 伝説 を 良く 知 っ て い る 。,we are _UNK _UNK _UNK _UNK _UNK . . _EOS,7.844324241661637,0.3,0.3
4,is your trunk locked ?,トランク に は 鍵 が かけ られ て い ま す か 。,is are in in in in ? _EOS,54.18398576352497,0.25,0.4
5,i just meant it as a joke .,それ は 冗談 の つもり で い っ た だけ だ よ 。,it &apos;s that that that it . . _EOS,44.70224822287806,0.2222222222222222,0.25
6,the room had a nice cozy feel .,その 部屋 は 居心地 の 良 い 感じ が し た 。,the _UNK _UNK in in the . . _EOS,24.229006269563957,0.2222222222222222,0.25
7,she alone is able to use the personal computer .,パソコン が 使え る の は 彼女 だけ で す 。,my is is is is her . _EOS,115.44006552639264,0.25,0.2
8,they agreed on a joint statement .,彼 ら は 共同 声明 に 同意 し た 。,they made a in the . . _EOS,15.59432800927222,0.375,0.42857142857142855
9,he handed her up into the bus .,彼 は 彼女 を バス に 助け あげ た 。,he _UNK her her her . . _EOS,13.629282002886313,0.375,0.375
10,"whatever faults he may have , meanness is not one of them .",彼 に どんな 欠点 が あ る に し て も 、 卑劣 な ところ は な い 。,"it can not , , , he . . . _EOS",53.133454294716216,0.36363636363636365,0.3076923076923077
11,&quot; will they be open this early in the morning ? &quot; &quot; they &apos;ll let me in on sight . &quot;,「 こんな 朝 早く から 開館 し て る ん で す か ？ 」 「 私 は 顔 パス よ 」,"&quot; you , , &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot;",46.86560800385227,0.2,0.18181818181818182
12,"man , too , has been given protective devices against extreme temperatures .",人間 も 極度 に 寒 い 温度 に 対 し て は 、 防御 装置 を 備え て い る 。,_UNK _UNK _UNK in _UNK in _UNK in _UNK in _UNK in _UNK . . _EOS,38.85911926859505,0.0625,0.07692307692307693
13,i stopped smoking .,私 は タバコ を 吸 う の を やめ た 。,i got my my my . . _EOS,107.74590003383345,0.25,0.5
14,he struck me in a passion .,彼 は かっと な っ て 私 を 殴 っ た 。,he _UNK me me me me . _EOS,14.760561635473945,0.375,0.42857142857142855
15,he pulled the rope .,彼 は ロープ を 引っ張 っ た 。,he made his his . . _EOS,18.70855688713131,0.2857142857142857,0.4
16,why not apologize and ask for his pardon ?,どう し て あやま っ て 彼 の 許し を こ わ な い ん だ 。,i don him him his _UNK . . _EOS,80.5467026255188,0.1111111111111111,0.1111111111111111
17,i suppose they are coming .,私 は 彼 ら は 来る と 思 う 。,i will him him him . . _EOS,36.87352792676939,0.25,0.3333333333333333
18,the house which stands on the hill is very old .,丘 の 上 に 建 っ て い る 家 は とても 古 い 。,the the is is in in in . . _EOS,39.66750882639503,0.4,0.36363636363636365
19,i arrived there too early .,私 は 早 く 着 き すぎ た 。,i have a a . . _EOS,23.659446307159236,0.2857142857142857,0.3333333333333333
20,i would like to repay him for his kindness .,私 は 彼 の 親切 に こたえ た い 。,i want him his his . . _EOS,44.16810448231488,0.5,0.4
21,the roof was torn off by the gale .,屋根 は 強風 に 飛ば さ れ た 。,the _UNK was _UNK _UNK _UNK . _EOS,10.338725385293738,0.375,0.3333333333333333
22,a boat suddenly appeared out of the mist .,霧 の 中 から 突然 船 が 現れ た 。,the the in in in the the . . _EOS,43.787039233500856,0.2,0.2222222222222222
23,he would still be alive if he had been wearing his seat belt when the car crashed .,車 が 衝突 し た とき シート ベルト を し て い た ら 、 彼 は 今 で も 生き て い る だ ろ う 。,"he is the , , , , , , , a have . . . _EOS",49.06758531685552,0.1875,0.16666666666666666
24,"when you get married and have kids , you &apos;ll realize that actions speak louder than words .",あなた が 結婚 し 子供 を 持 っ た ら 、 言葉 より 実践 と い う こと を 悟 る で しょ う 。,if you you you you you you you you . . . _EOS,91.67240788506165,0.23076923076923078,0.16666666666666666
25,it leaves nothing much to be desired .,それ は 遺憾 な ところ が 多 い 。,it is a _UNK . . _EOS,53.20551234733284,0.2857142857142857,0.25
26,you can &apos;t turn the heat off as long as the system is operating .,その 装置 が 作動 し て い る 間 は 暖房 を 止め る こと は でき な い 。,the is can _UNK _UNK _UNK _UNK the . _EOS,80.91393866220834,0.5,0.3333333333333333
27,the picnic was called off because of rain .,ピクニック は 雨 の ため に 中止 に な っ た 。,the _UNK was to the the the the . . _EOS,28.90280377820689,0.2727272727272727,0.3333333333333333
28,he often stays away from home on the weekend .,彼 は 週末 に よく 家 を 空け る 。,he has his his his his . . _EOS,36.4036383493799,0.2222222222222222,0.2
29,the german shepherd was limping down the street .,その シェパード は 、 びっこ を ひ き ながら 道 を 歩 い て い た 。,the _UNK _UNK _UNK _UNK the _UNK the _UNK the . . _EOS,31.56300644247169,0.23076923076923078,0.3333333333333333
30,bob has too many books to read .,ボブ は 読 み きれ な い ほど たくさん の 本 を 持 っ て い る 。,these is a a of in the . . _EOS,38.97518348360853,0.1,0.125
31,he hammered nails into the plank .,板 に くぎ を 打ち込 ん だ 。,i _UNK _UNK _UNK _UNK . . _EOS,5.706093897972893,0.125,0.14285714285714285
32,have you finished your homework already ?,宿題 は もう 終わ っ た の で す か 。,where you you you ? ? _EOS,19.78996698543475,0.2857142857142857,0.2857142857142857
33,that &apos;s about it .,まず その 辺 で す 。,it &apos;s the the the _UNK . _EOS,49.5358281649174,0.375,0.6
34,my dream is to take a round @-@ the @-@ world trip .,夢 は 、 世界 一周 旅行 。,"that is is , . . _EOS",108.61108053457411,0.2857142857142857,0.15384615384615385
35,please take me home tonight .,今夜 は 家 に つれ て い っ て く れ 。,the is is in in . . _EOS,67.2152579133181,0.125,0.16666666666666666
36,i have had to stay in bed for two days .,２ 日間 ベッド に い な く て は な ら な かっ た 。,the had &apos;t not to to . . _EOS,37.60323729054973,0.3333333333333333,0.2727272727272727
37,the firemen had the fire out in no time .,消防 士 は あっ と い う 間 に 火 を 消 し た 。,_UNK _UNK _UNK _UNK _UNK the _UNK _UNK _UNK . _EOS,22.731112275440186,0.18181818181818182,0.2
38,can i borrow your umbrella ?,あなた の 傘 を 借り て い い で す か 。,do you you me ? ? _EOS,17.34726832263282,0.14285714285714285,0.16666666666666666
39,i will stay home if it rains tomorrow .,明日 雨降り なら 私 は 家 に い ま す 。,i &apos;m to to to _UNK . . . _EOS,27.44019040645175,0.2,0.2222222222222222
40,she was the last to cross the finishing line .,彼女 が 最後 に ゴール し た 人 で す 。,she is a she she . . _EOS,60.0293527163728,0.25,0.2
41,nothing is more vivid than a picture .,写真 ほど 鮮明 な もの は な い 。,there is not _UNK _UNK . . _EOS,13.253817882338089,0.25,0.25
