,en,fr,hypo,pplx,prec,rec
0,this is a dead @-@ end alley .,この 路地 は 通り抜け でき ま せ ん 。,i can &apos;t this this this . . _EOS,31.17229642615292,0.2222222222222222,0.25
1,"yes , sorry , i forgot to acknowledge it .",ええ 、 届 い た の を お 知 らせ する の を 忘れ て しま っ て す み ま せ ん 。,"you you me , , , the the the the the the _EOS",39.45044115577909,0.15384615384615385,0.2
2,he is a german by origin .,彼 は ドイツ 生まれ の 人 だ 。,he is a a of a a . . _EOS,50.54669321889116,0.4,0.5714285714285714
3,we are familiar with the legend of robin hood .,我々 は ロビン フッド の 伝説 を 良く 知 っ て い る 。,we are _UNK _UNK the the the _UNK _UNK . . _EOS,6.3930447013063105,0.3333333333333333,0.4
4,is your trunk locked ?,トランク に は 鍵 が かけ られ て い ま す か 。,can you see the _UNK ? _EOS,15.697735910329252,0.14285714285714285,0.2
5,i just meant it as a joke .,それ は 冗談 の つもり で い っ た だけ だ よ 。,it &apos;s that that to a a good this . . _EOS,100.29902666981896,0.25,0.375
6,the room had a nice cozy feel .,その 部屋 は 居心地 の 良 い 感じ が し た 。,the was was _UNK _UNK . . _EOS,26.11246858294417,0.25,0.25
7,she alone is able to use the personal computer .,パソコン が 使え る の は 彼女 だけ で す 。,i is i that is i to . . _EOS,94.58937691211915,0.3,0.3
8,they agreed on a joint statement .,彼 ら は 共同 声明 に 同意 し た 。,they got on on . . _EOS,20.63215167493625,0.42857142857142855,0.42857142857142855
9,he handed her up into the bus .,彼 は 彼女 を バス に 助け あげ た 。,he was her her her . . _EOS,35.32452245699943,0.375,0.375
10,"whatever faults he may have , meanness is not one of them .",彼 に どんな 欠点 が あ る に し て も 、 卑劣 な ところ は な い 。,i can &apos;t to what what is he he is a . . _EOS,49.450139686015355,0.21428571428571427,0.23076923076923078
11,&quot; will they be open this early in the morning ? &quot; &quot; they &apos;ll let me in on sight . &quot;,「 こんな 朝 早く から 開館 し て る ん で す か ？ 」 「 私 は 顔 パス よ 」,&quot; you you _UNK &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot;,51.22789229001239,0.2,0.18181818181818182
12,"man , too , has been given protective devices against extreme temperatures .",人間 も 極度 に 寒 い 温度 に 対 し て は 、 防御 装置 を 備え て い る 。,"a _UNK , , , _UNK _UNK _UNK _UNK _UNK _UNK _UNK . . _EOS",20.52420027549171,0.2,0.23076923076923078
13,i stopped smoking .,私 は タバコ を 吸 う の を やめ た 。,i was my my . . _EOS,73.0669382932704,0.2857142857142857,0.5
14,he struck me in a passion .,彼 は かっと な っ て 私 を 殴 っ た 。,he took a a a the the . . _EOS,65.0214843969607,0.3,0.42857142857142855
15,he pulled the rope .,彼 は ロープ を 引っ張 っ た 。,he took a the . . _EOS,33.68901968307431,0.42857142857142855,0.6
16,why not apologize and ask for his pardon ?,どう し て あやま っ て 彼 の 許し を こ わ な い ん だ 。,i don &apos;t _UNK to to _UNK . . _EOS,153.07175296512116,0.0,0.0
17,i suppose they are coming .,私 は 彼 ら は 来る と 思 う 。,i think i think it . . _EOS,62.03894658908501,0.25,0.3333333333333333
18,the house which stands on the hill is very old .,丘 の 上 に 建 っ て い る 家 は とても 古 い 。,i is is is to to the _UNK _UNK . _EOS,36.13341628096991,0.2727272727272727,0.2727272727272727
19,i arrived there too early .,私 は 早 く 着 き すぎ た 。,i was to _UNK . _EOS,23.16906932888149,0.3333333333333333,0.3333333333333333
20,i would like to repay him for his kindness .,私 は 彼 の 親切 に こたえ た い 。,i want to him him the . _EOS,52.44200944809019,0.5,0.4
21,the roof was torn off by the gale .,屋根 は 強風 に 飛ば さ れ た 。,the _UNK was in the the . . _EOS,15.527239567097274,0.4444444444444444,0.4444444444444444
22,a boat suddenly appeared out of the mist .,霧 の 中 から 突然 船 が 現れ た 。,the _UNK _UNK the the the the . . _EOS,28.902379207703564,0.2,0.2222222222222222
23,he would still be alive if he had been wearing his seat belt when the car crashed .,車 が 衝突 し た とき シート ベルト を し て い た ら 、 彼 は 今 で も 生き て い る だ ろ う 。,"when &apos;s when when , , i i i to to _UNK _UNK . a . . . _EOS",37.980441038651215,0.10526315789473684,0.1111111111111111
24,"when you get married and have kids , you &apos;ll realize that actions speak louder than words .",あなた が 結婚 し 子供 を 持 っ た ら 、 言葉 より 実践 と い う こと を 悟 る で しょ う 。,"you you you a a , , your in in _UNK . . _EOS",82.21413558649056,0.2857142857142857,0.2222222222222222
25,it leaves nothing much to be desired .,それ は 遺憾 な ところ が 多 い 。,that has a a a a good . _EOS,52.32736245583078,0.1111111111111111,0.125
26,you can &apos;t turn the heat off as long as the system is operating .,その 装置 が 作動 し て い る 間 は 暖房 を 止め る こと は でき な い 。,the _UNK _UNK _UNK _UNK to the _UNK _UNK to to the . . _EOS,34.45791998999956,0.2,0.2
27,the picnic was called off because of rain .,ピクニック は 雨 の ため に 中止 に な っ た 。,the had had a for for for . . _EOS,19.21918269100302,0.2,0.2222222222222222
28,he often stays away from home on the weekend .,彼 は 週末 に よく 家 を 空け る 。,he often often with the the . _EOS,54.228288747685696,0.5,0.4
29,the german shepherd was limping down the street .,その シェパード は 、 びっこ を ひ き ながら 道 を 歩 い て い た 。,the _UNK _UNK _UNK _UNK the the _UNK . _EOS,13.175164107626284,0.3,0.3333333333333333
30,bob has too many books to read .,ボブ は 読 み きれ な い ほど たくさん の 本 を 持 っ て い る 。,i have a _UNK than than than a a all . . _EOS,100.87004181382359,0.07692307692307693,0.125
31,he hammered nails into the plank .,板 に くぎ を 打ち込 ん だ 。,i _UNK a a the the . . _EOS,9.961362151970782,0.2222222222222222,0.2857142857142857
32,have you finished your homework already ?,宿題 は もう 終わ っ た の で す か 。,how did you have a for ? ? _EOS,16.53612914950268,0.3333333333333333,0.42857142857142855
33,that &apos;s about it .,まず その 辺 で す 。,"i &apos;m that , the _UNK the . . _EOS",39.46090511230488,0.2,0.4
34,my dream is to take a round @-@ the @-@ world trip .,夢 は 、 世界 一周 旅行 。,"the is is , to a school . . _EOS",127.3276820780683,0.5,0.38461538461538464
