,en,fr,hypo,pplx,prec,rec
0,this is a dead @-@ end alley .,この 路地 は 通り抜け でき ま せ ん 。,i can &apos;t _UNK this this _UNK . _EOS,60.09201884522265,0.2222222222222222,0.25
1,"yes , sorry , i forgot to acknowledge it .",ええ 、 届 い た の を お 知 らせ する の を 忘れ て しま っ て す み ま せ ん 。,"i don &apos;t to i , you you . . _EOS",17.7588065103645,0.36363636363636365,0.4
2,he is a german by origin .,彼 は ドイツ 生まれ の 人 だ 。,he is a man man . . _EOS,14.496377365936643,0.5,0.5714285714285714
3,we are familiar with the legend of robin hood .,我々 は ロビン フッド の 伝説 を 良く 知 っ て い る 。,we are _UNK the _UNK _UNK _UNK _UNK . _EOS,4.672241965389915,0.4,0.4
4,is your trunk locked ?,トランク に は 鍵 が かけ られ て い ま す か 。,who you have in the ? _EOS,44.721776056319094,0.14285714285714285,0.2
5,i just meant it as a joke .,それ は 冗談 の つもり で い っ た だけ だ よ 。,it &apos;s it it at here . _EOS,49.05713860287861,0.25,0.25
6,the room had a nice cozy feel .,その 部屋 は 居心地 の 良 い 感じ が し た 。,the teacher was _UNK in room . . _EOS,30.402476545243676,0.3333333333333333,0.375
7,she alone is able to use the personal computer .,パソコン が 使え る の は 彼女 だけ で す 。,the is is for now now . _EOS,134.22791768561243,0.375,0.3
8,they agreed on a joint statement .,彼 ら は 共同 声明 に 同意 し た 。,they _UNK in in _UNK . . _EOS,15.43031777615969,0.25,0.2857142857142857
9,he handed her up into the bus .,彼 は 彼女 を バス に 助け あげ た 。,he was her her her her . . _EOS,17.22380877291541,0.3333333333333333,0.375
10,"whatever faults he may have , meanness is not one of them .",彼 に どんな 欠点 が あ る に し て も 、 卑劣 な ところ は な い 。,i don &apos;t like to to his his he he . . . _EOS,51.978122670110125,0.14285714285714285,0.15384615384615385
11,&quot; will they be open this early in the morning ? &quot; &quot; they &apos;ll let me in on sight . &quot;,「 こんな 朝 早く から 開館 し て る ん で す か ？ 」 「 私 は 顔 パス よ 」,&quot; you _UNK you _UNK _UNK _UNK &quot; &quot; i &quot; i &quot; &quot; &quot; &quot; &quot; &quot; &quot; &quot;,44.33406823895505,0.2,0.18181818181818182
12,"man , too , has been given protective devices against extreme temperatures .",人間 も 極度 に 寒 い 温度 に 対 し て は 、 防御 装置 を 備え て い る 。,it is a and _UNK and _UNK _UNK _UNK and _UNK _UNK _UNK . _EOS,31.753623942075993,0.06666666666666667,0.07692307692307693
13,i stopped smoking .,私 は タバコ を 吸 う の を やめ た 。,i thought my my . . _EOS,40.97462769323939,0.2857142857142857,0.5
14,he struck me in a passion .,彼 は かっと な っ て 私 を 殴 っ た 。,he has a a his his . . _EOS,23.304067761332973,0.3333333333333333,0.42857142857142855
15,he pulled the rope .,彼 は ロープ を 引っ張 っ た 。,he got a a . . _EOS,17.75482501258223,0.2857142857142857,0.4
16,why not apologize and ask for his pardon ?,どう し て あやま っ て 彼 の 許し を こ わ な い ん だ 。,i don &apos;t _UNK his his his . . _EOS,106.73444169499919,0.1,0.1111111111111111
17,i suppose they are coming .,私 は 彼 ら は 来る と 思 う 。,i like to that he is . . _EOS,56.38893596450872,0.2222222222222222,0.3333333333333333
18,the house which stands on the hill is very old .,丘 の 上 に 建 っ て い る 家 は とても 古 い 。,the is very very very . . _EOS,107.9689678291493,0.5,0.36363636363636365
19,i arrived there too early .,私 は 早 く 着 き すぎ た 。,i was to to than than . . _EOS,44.52540342680667,0.2222222222222222,0.3333333333333333
20,i would like to repay him for his kindness .,私 は 彼 の 親切 に こたえ た い 。,i want to him him . . _EOS,49.15873859709741,0.5,0.4
21,the roof was torn off by the gale .,屋根 は 強風 に 飛ば さ れ た 。,the _UNK was was in in _UNK . . _EOS,7.625654434866951,0.3,0.3333333333333333
22,a boat suddenly appeared out of the mist .,霧 の 中 から 突然 船 が 現れ た 。,a _UNK the in in the . . _EOS,38.713334101131714,0.3333333333333333,0.3333333333333333
23,he would still be alive if he had been wearing his seat belt when the car crashed .,車 が 衝突 し た とき シート ベルト を し て い た ら 、 彼 は 今 で も 生き て い る だ ろ う 。,the _UNK _UNK _UNK when when when the when the the the a the . . _EOS,59.76884816326573,0.17647058823529413,0.16666666666666666
24,"when you get married and have kids , you &apos;ll realize that actions speak louder than words .",あなた が 結婚 し 子供 を 持 っ た ら 、 言葉 より 実践 と い う こと を 悟 る で しょ う 。,i will you have you you when when when when when when . . _EOS,121.45587206001125,0.3333333333333333,0.2777777777777778
25,it leaves nothing much to be desired .,それ は 遺憾 な ところ が 多 い 。,it &apos;s not _UNK . . _EOS,74.98508912961998,0.2857142857142857,0.25
26,you can &apos;t turn the heat off as long as the system is operating .,その 装置 が 作動 し て い る 間 は 暖房 を 止め る こと は でき な い 。,the _UNK can can the the the the _EOS,127.88637612851171,0.3333333333333333,0.2
